,Never,1-2 t/Mon,1-2 t/Week,3-4 t/Week,Daily,,,,,
Person-year,135704,56551,97098,92153,252364,,,,,
N,8508,3522,5928,5563,15865,,,,,
Total Stroke,326,122,181,177,546,,,,,
Mean AF (SD),1,0.93 (0.07),0.83 (0.05),0.85 (0.05),0.93 (0.04),,,,,
95% CrI,-,"(0.81, 1.06)","(0.73, 0.94)","(0.74, 0.96)","(0.85, 1.02)",,,,,
Mean HR (SD),1,0.89 (0.09),0.77 (0.07),0.79 (0.07),0.90 (0.06),,,,,
95% CrI,- ,"(0.73, 1.08)","(0.63, 0.91)","(0.66, 0.94)","(0.79, 1.03)",,,,,
Pr(HR < 1),- ,86.5%,99.9%,99.7%,93.5%,,,,,
Mean AF (SD),1,0.99 (0.06),0.90 (0.05),0.91 (0.05),0.85 (0.04),,,,,
95% CrI,-,"(0.87, 1.11)","(0.81, 1.00)","(0.82, 1.01)","(0.78, 0.92)",,,,,
Mean HR (SD),1,0.98 (0.11),0.84 (0.08),0.86 (0.08),0.76 (0.05),,,,,
95% CrI,- ,"(0.79, 1.19)","(0.70, 1.00)","(0.71, 1.02)","(0.66, 0.87)",,,,,
Pr(HR < 1),- ,58.7%,97.3%,96.1%,100.0%,,,,,
Mean AF (SD),1,1.00 (0.07),0.92 (0.06),0.94 (0.06),0.88 (0.05),,,,,
95% CrI,-,"(0.88, 1.14)","(0.82, 1.03)","(0.84, 1.05)","(0.81, 0.96)",,,,,
Mean HR (SD),1,1.01 (0.12),0.87 (0.09),0.90 (0.09),0.80 (0.07),,,,,
95% CrI,- ,"(0.81, 1.24)","(0.72, 1.05)","(0.74, 1.08)","(0.69, 0.93)",,,,,
Pr(HR < 1),- ,50.60%,93.70%,89.60%,99.00%,,,,,
Hemorrhagic stroke,100,42,58,56,176,,,,,
Mean AF (SD),1,1.03 (0.17),0.85 (0.12),0.87 (0.13),0.98 (0.11),,,,,
95% CrI,-,"(0.74, 1.38)","(0.63, 1.12)","(0.65, 1.14)","(0.78, 1.22)",,,,,
Mean HR (SD),1,1.03 (0.19),0.82 (0.14),0.84 (0.15),0.97 (0.13),,,,,
95% CrI,- ,"(0.70, 1.46)","(0.56, 1.14)","(0.60, 1.17)","(0.75, 1.26)",,,,,
Pr(HR < 1),- ,47.20%,88.40%,86.30%,63.10%,,,,,
Mean AF (SD),1,1.08 (0.17),0.91 (0.13),0.92 (0.13),0.90 (0.10),,,,,
95% CrI,-,"(0.80, 1.45)","(0.70, 1.20)","(0.71, 1.19)","(0.74, 1.11)",,,,,
Mean HR (SD),1,1.11 (0.21),0.88 (0.16),0.90 (0.16),0.88 (0.12),,,,,
95% CrI,- ,"(0.75, 1.58)","(0.63, 1.25)","(0.63, 1.24)","(0.67, 1.14)",,,,,
Pr(HR < 1),- ,31.60%,79.70%,76.60%,87.60%,,,,,
Mean AF (SD),1,1.11 (0.18),0.93 (0.15),0.96 (0.16),0.96 (0.13),,,,,
95% CrI,-,"(0.79, 1.58)","(0.70, 1.25)","(0.71, 1.34)","(0.76, 1.25)",,,,,
Mean HR (SD),1,1.14 (0.22),0.92 (0.17),0.95 (0.18),0.95 (0.14),,,,,
95% CrI,- ,"(0.75, 1.61)","(0.63, 1.29)","(0.65, 1.37)","(0.71, 1.27)",,,,,
Pr(HR < 1),- ,28.80%,72.40%,64.40%,69.30%,,,,,
Cerebral infarction ,151,41,64,66,198,,,,,
Mean AF (SD),1,0.76 (0.09),0.71 (0.07),0.74 (0.08),0.79 (0.06),,,,,
95% CrI,-,"(0.59, 0.94)","(0.58, 0.86)","(0.61, 0.89)","(0.68, 0.93)",,,,,
Mean HR (SD),1,0.65 (0.12),0.59 (0.09),0.64 (0.09),0.71 (0.09),,,,,
95% CrI,- ,"(0.46, 0.92)","(0.43, 0.79)","(0.47, 0.85)","(0.56, 0.89)",,,,,
Pr(HR < 1),- ,99.10%,99.90%,99.70%,99.50%,,,,,
Mean AF (SD),1,0.83 (0.08),0.79 (0.07),0.82 (0.07),0.74 (0.05),,,,,
95% CrI,-,"(0.68, 1.01)","(0.67, 0.93)","(0.69, 0.96)","(0.66, 0.84)",,,,,
Mean HR (SD),1,0.73 (0.13),0.65 (0.10),0.70 (0.11),0.58 (0.07),,,,,
95% CrI,- ,"(0.49, 1.02)","(0.48, 0.88)","(0.51, 0.94)","(0.46, 0.72)",,,,,
Pr(HR < 1),- ,96.90%,99.80%,98.90%,100.00%,,,,,
Mean AF (SD),1,0.84 (0.09),0.80 (0.08),0.83 (0.08),0.75 (0.06),,,,,
95% CrI,-,"(0.67, 1.02)","(0.67, 0.95)","(0.69, 0.99)","(0.66, 0.85)",,,,,
Mean HR (SD),1,0.73 (0.14),0.67 (0.11),0.72 (0.12),0.61 (0.08),,,,,
95% CrI,- ,"(0.50, 1.04)","(0.48, 0.91)","(0.52, 0.99)","(0.48, 0.79)",,,,,
Pr(HR < 1),- ,96.10%,99.10%,97.50%,99.80%,,,,,