,Never,1-2 t/Mon,1-2 t/Week,3-4 t/Week,Daily
Person-year,173222,59904,129233,139919,418925
N,10407,3640,7590,8108,25254
Total Stroke,300,84,182,172,585
MeanHR (SD),1,0.83 (0.10),0.81 (0.08),0.70 (0.07),0.81 (0.07)
95% CrI,- ,"(0.64, 1.05)","(0.68, 0.97)","(0.58, 0.85)","(0.71, 0.93)"
MCSE,- ,0.0029,0.0022,0.0021,0.0023
Pr(HR < 1),- ,94.6%,98.7%,99.9%,99.6%
MeanHR (SD),1,1.00 (0.14),1.18 (0.14),1.03 (0.12),0.92 (0.09)
95% CrI,- ,"(0.76, 1.31)","(0.95, 1.47)","(0.82, 1.28)","(0.78, 1.09)"
MCSE,- ,0.0038,0.0045,0.0042,0.0034
Pr(HR < 1),- ,52.3%,6.3%,42.0%,86.8%
MeanHR (SD),1,1.01 (0.17),1.19 (0.15),1.03 (0.15),0.95 (0.12)
95% CrI,- ,"(0.75, 1.36)","(0.96, 1.52)","(0.81, 1.31)","(0.80, 1.17)"
MCSE,- ,0.0083,0.0096,0.0079,0.0075
Pr(HR < 1),- ,52.8%,6.4%,44.4%,78.0%
Hemorrhagic stroke,108,27,78,76,231
MeanHR (SD),1,0.73 (0.16),0.98 (0.15),0.87 (0.14),0.89 (0.11)
95% CrI,- ,"(0.47, 1.08)","(0.71, 1.31)","(0.64, 1.16)","(0.71, 1.15)"
MCSE,- ,0.0058,0.0071,0.0061,0.0065
Pr(HR < 1),- ,94.7%,58.1%,83.1%,83.0%
MeanHR (SD),1,0.84 (0.18),1.17 (0.18),1.06 (0.17),0.93 (0.12)
95% CrI,- ,"(0.54, 1.24)","(0.86, 1.58)","(0.76, 1.45)","(0.73, 1.19)"
MCSE,- ,0.0065,0.0089,0.0084,0.0069
Pr(HR < 1),- ,81.6%,16.9%,38.9%,74.6%
MeanHR (SD),1,0.85 (0.18),1.21 (0.18),1.13 (0.17),1.03 (0.12)
95% CrI,- ,"(0.56, 1.30)","(0.90, 1.62)","(0.84, 1.52)","(0.81, 1.29)"
MCSE,- ,0.0051,0.0067,0.0039,0.0047
Pr(HR < 1),- ,79.6%,12.7%,33.4%,71.4%
Cerebral infarction ,102,35,63,50,187
MeanHR (SD),1,1.01 (0.13),0.82 (0.14),0.59 (0.14),0.76 (0.16)
95% CrI,- ,"(0.69, 1.48)","(0.60, 1.13)","(0.43, 0.84)","(0.59, 0.99)"
MCSE,- ,0.0087,0.0079,0.0064,0.0071
Pr(HR < 1),- ,51.9%,75.6%,97.6%,96.1%
MeanHR (SD),1,1.29 (0.14),1.15 (0.13),0.86 (0.14),0.86 (0.15)
95% CrI,- ,"(0.88, 1.89)","(0.84, 1.58)","(0.61, 1.20)","(0.67, 1.09)"
MCSE,- ,0.0071,0.0072,0.0095,0.0054
Pr(HR < 1),- ,36.7%,42.1%,78.7%,88.9%
MeanHR (SD),1,1.30 (0.11),1.18 (0.09),0.87 (0.10),0.93 (0.07)
95% CrI,- ,"(0.88, 1.92)","(0.86, 1.63)","(0.62, 1.23)","(0.72, 1.19)"
MCSE,- ,0.0055,0.0057,0.0067,0.0047
Pr(HR < 1),- ,35.1%,39.9%,75.6%,80.1%